"recskil","recexp","recknow","recimg","recgndr","sofrdst","sofrwrk","sofrpr","sofrprv","cntry","pspwght"
4,2,3,2,2,3,2,3,3,"AT",0.218111366033554
4,3,3,2,2,3,1,1,5,"AT",0.413473278284073
3,4,3,3,3,2,2,2,4,"AT",2.27029275894165
1,1,4,NA,2,3,2,2,4,"AT",0.386483430862427
3,3,4,3,1,2,1,1,4,"AT",1.032102227211
3,2,4,3,3,2,2,2,3,"AT",0.575544655323029
3,3,3,3,2,2,2,2,5,"AT",0.720604360103607
4,2,3,3,3,2,3,2,4,"AT",0.130112841725349
4,4,4,4,2,2,1,1,1,"AT",1.77075970172882
3,3,3,2,2,2,2,2,2,"AT",0.742814064025879
NA,NA,NA,1,3,1,5,5,5,"AT",0.159934610128403
2,2,3,3,3,3,3,2,4,"AT",0.777760744094849
2,3,3,1,3,1,1,1,4,"AT",0.803710341453552
3,3,3,3,3,2,1,1,1,"AT",0.983047187328339
4,3,4,3,3,1,1,2,5,"AT",0.342777580022812
3,3,4,3,3,2,2,1,5,"AT",1.02026832103729
3,2,2,4,2,2,2,2,2,"AT",0.361653417348862
NA,3,1,1,1,2,2,2,4,"AT",0.551291525363922
4,4,4,NA,NA,2,1,2,3,"AT",0.116288356482983
4,4,2,2,2,2,2,2,4,"AT",1.38906753063202
4,4,1,2,1,2,2,3,4,"AT",0.401159286499023
3,2,1,3,3,3,2,2,4,"AT",0.514406800270081
3,3,3,2,2,2,NA,2,4,"AT",0.273204505443573
4,4,3,NA,2,NA,2,2,NA,"AT",0.908989250659943
4,4,4,2,3,5,1,2,2,"AT",1.3691211938858
3,4,4,1,1,4,2,1,1,"AT",1.92127001285553
3,2,2,3,2,3,2,2,4,"AT",0.583009123802185
4,4,4,4,3,3,2,1,3,"AT",0.620467901229858
2,3,4,4,3,1,2,2,4,"AT",1.38538479804993
3,2,2,1,1,5,1,2,5,"AT",3.99969601631165
3,2,3,2,2,3,3,2,2,"AT",0.775290369987488
2,2,1,1,1,3,2,2,4,"AT",0.360911399126053
4,4,4,4,4,5,1,2,1,"AT",0.816884696483612
4,4,2,1,1,3,2,1,5,"AT",2.22203183174133
3,3,3,3,3,1,1,1,5,"AT",0.341112852096558
3,3,2,2,2,2,2,2,3,"AT",0.87690395116806
4,4,2,3,3,5,1,3,4,"AT",1.09979748725891
4,3,2,2,1,3,3,1,3,"AT",0.249247536063194
3,4,2,3,2,2,1,1,4,"AT",0.419118791818619
3,3,2,1,3,3,1,1,5,"AT",1.2258335351944
4,2,4,2,2,2,1,1,4,"AT",0.367910027503967
4,4,4,2,3,3,1,1,5,"AT",0.734716713428497
4,4,1,2,1,3,2,2,4,"AT",0.185282826423645
4,4,3,3,3,4,3,2,2,"AT",1.92127001285553
3,3,2,2,2,2,2,2,4,"AT",0.360187977552414
4,3,3,2,1,3,1,1,4,"AT",0.310457080602646
4,4,2,1,1,3,2,1,2,"AT",2.36063742637634
2,3,4,1,1,2,4,4,4,"AT",1.40703022480011
4,4,3,4,2,3,2,2,2,"AT",1.60815858840942
3,3,4,1,2,3,2,3,1,"AT",0.673267304897308
4,4,4,4,4,5,4,1,NA,"AT",0.247514620423317
2,2,4,3,3,2,NA,1,5,"AT",2.44729328155518
4,4,2,2,3,4,2,2,4,"AT",1.49294102191925
4,3,4,4,2,2,3,3,3,"AT",0.303946971893311
4,4,4,3,4,1,2,2,2,"AT",1.29330825805664
3,3,3,3,3,2,3,1,5,"AT",1.46188879013062
3,NA,3,NA,NA,2,2,2,4,"AT",0.684417068958282
NA,2,4,4,3,1,2,2,5,"AT",0.266365826129913
